id,user_id,notification_type,title,message,status,priority,created_at,read_at,action_url,metadata
1,2,task_assigned,New Task Assigned,You have been assigned to task: Collect data,unread,high,2025-11-29T20:00:00Z,,/tasks/1,"{""task_id"":1}"
2,3,task_completed,Task Completed,Task 'Analyze metrics' has been completed,read,medium,2025-11-29T18:30:00Z,2025-11-29T18:35:00Z,/tasks/2,"{""task_id"":2}"
3,4,task_due_soon,Task Due Soon,Task 'Generate report' is due in 5 days,unread,high,2025-11-29T19:00:00Z,,/tasks/3,"{""task_id"":3}"
4,2,error,API Error,API timeout occurred on endpoint /datasets/users/rows,read,high,2025-11-29T20:30:00Z,2025-11-29T20:32:00Z,/logs/4,"{""error_id"":4}"
5,5,system_update,System Update,API documentation has been updated,unread,low,2025-11-29T17:00:00Z,,/docs,"{""update_type"":""docs""}"
6,6,project_update,Project Update,Project 'Frontend Redesign' status changed to in_progress,read,medium,2025-11-29T16:00:00Z,2025-11-29T16:05:00Z,/projects/2,"{""project_id"":2}"
7,7,security_alert,Security Alert,Multiple failed login attempts detected,unread,critical,2025-11-29T15:30:00Z,,/security,"{""alert_type"":""failed_login""}"
8,8,reminder,Reminder,Don't forget: Write unit tests due in 3 days,unread,medium,2025-11-29T14:00:00Z,,/tasks/8,"{""task_id"":8}"
9,9,deployment,Deployment Started,Deployment to production environment has started,read,high,2025-11-29T13:00:00Z,2025-11-29T13:10:00Z,/deployments/1,"{""deployment_id"":1}"
10,10,performance,Performance Alert,Response time exceeded threshold: 500ms,unread,medium,2025-11-29T12:00:00Z,,/metrics,"{""metric"":""response_time""}"
11,1,review_request,Review Request,Code review requested for pull request #42,unread,high,2025-11-29T11:00:00Z,,/reviews/42,"{""pr_id"":42}"
12,2,data_export,Export Complete,Your data export is ready for download,read,low,2025-11-29T10:00:00Z,2025-11-29T10:05:00Z,/exports/1,"{""export_id"":1}"
13,3,backup_complete,Backup Complete,Database backup completed successfully,read,low,2025-11-29T09:00:00Z,2025-11-29T09:02:00Z,/backups/1,"{""backup_id"":1}"
14,4,maintenance,Maintenance Scheduled,Planned maintenance on 2025-12-01 from 02:00 to 04:00 UTC,unread,high,2025-11-29T08:00:00Z,,/maintenance,"{""start"":""2025-12-01T02:00:00Z"",""end"":""2025-12-01T04:00:00Z""}"
15,5,feature_release,New Feature,Advanced filtering is now available,read,low,2025-11-29T07:00:00Z,2025-11-29T07:15:00Z,/features/filtering,"{""feature"":""advanced_filtering""}"
16,6,quota_warning,Quota Warning,You have used 80% of your API quota,unread,medium,2025-11-29T06:00:00Z,,/quota,"{""usage"":80}"
17,7,integration_success,Integration Success,Webhook integration configured successfully,read,low,2025-11-29T05:00:00Z,2025-11-29T05:03:00Z,/integrations/1,"{""integration_id"":1}"
18,8,error_resolved,Error Resolved,Database connection error has been resolved,read,medium,2025-11-29T04:00:00Z,2025-11-29T04:05:00Z,/errors/7,"{""error_id"":7}"
19,9,user_invite,User Invited,You have been invited to join the team,unread,high,2025-11-29T03:00:00Z,,/invites/1,"{""invite_id"":1}"
20,10,report_generated,Report Ready,Monthly analytics report is ready,read,low,2025-11-29T02:00:00Z,2025-11-29T02:10:00Z,/reports/1,"{""report_id"":1}"

